timestamp,system.cpu.iowait,system.load.5,system.disk.pct_usage,system.net.tcp.out_segs,system.io.r_await,system.fs.inodes.used,system.swap.used,system.io.util,system.os.nofile.current,system.io.r_s,system.mem.used,system.swap.so,system.swap.si,system.cpu.user,system.swap.free,system.net.udp.in_errors,system.net.tcp.retrans_segs,system.mem.pct_usage,system.cpu.system,system.disk.total,system.net.packets_in.count,system.net.udp.rcv_buf_errors,system.udp.connect.num,system.io.w_s,system.mem.real.used,system.net.packets_out.count,system.fs.inodes.in_use,system.load.1,system.cpu.pct_usage,system.io.svctm,system.disk.readonly,system.fs.inodes.free,system.load.15,system.swap.total,system.io.avg_q_sz,system.mem.usable,system.fs.inodes.total,system.disk.free,system.process.zombie.num,system.io.await,system.os.nofile.max,system.net.udp.snd_buf_errors,system.mem.total,system.net.tcp.in_segs,system.io.rkb_s,system.tcp.retrans_pct,system.mem.real.pct_useage,system.swap.used_pct,system.disk.used,system.net.packets_in.error,system.net.packets_out.error,system.io.w_await,system.os.nofile.used_pct,system.net.udp.in_datagrams,system.net.udp.out_datagrams
1648558080,18.21,4.63,28.12,493.36,10.35,2380176.43,0.0,50.0,12800.0,404.0,7069.0,0.0,0.0,5.0,0.0,0.0,0.02,22.01,6.0,9052543853.71,123.93,0.0,11.0,0.0,-1.0,116.05,1.01,4.56,29.21,0.62,0.0,6953956498.29,4.77,0.0,8.15,-1.0,6956336274.29,2124232704.0,616.0,10.35,6553600.0,0.0,32117.0,277.82,124084.0,0.01,18.54,0.0,6910194834.29,0.0,0.0,0.0,0.195,1142.0,129.13
1648541700,14.3,3.72,19.43,422.47,6.91,1617728.67,0.0,49.9,12864.0,380.0,7064.0,0.0,0.0,4.28,0.0,0.0,0.0,21.99,5.83,5538626560.0,84.83,0.0,11.0,0.0,-1.0,100.2,1.17,3.51,24.42,0.65,0.0,4090161493.33,3.93,0.0,5.05,-1.0,4091779072.0,1472897877.33,609.0,6.91,6553600.0,0.0,32117.0,265.22,123574.0,0.01,18.51,0.0,4044593493.33,0.0,0.0,0.0,0.196,950.31,124.66
1648525320,13.51,4.2,19.42,419.64,6.27,1616908.17,0.0,50.1,12768.0,423.5,6960.0,0.0,0.0,4.1,0.0,0.0,0.0,21.67,6.04,5538626560.0,84.64,0.0,10.0,0.0,-1.0,99.74,1.17,4.22,23.65,0.59,0.0,4085313194.67,4.1,0.0,5.09,-1.0,4086930090.67,1471753045.33,594.0,6.27,6553600.0,0.0,32117.0,268.85,124578.0,0.01,18.18,0.0,4045737984.0,0.0,0.0,0.0,0.195,930.72,127.39
1648508940,15.15,4.93,19.44,328.05,12.81,1614064.33,0.0,49.7,12640.0,294.5,6846.0,0.0,0.0,2.99,0.0,0.0,0.0,21.32,3.75,5538626560.0,43.02,0.0,10.0,0.0,-1.0,57.37,1.17,3.78,21.89,0.85,0.0,4182768298.67,5.28,0.0,7.41,-1.0,4184382122.67,1495528106.67,583.0,12.81,6553600.0,0.0,32117.0,231.85,124200.0,0.01,17.77,0.0,4021963093.33,0.0,0.0,0.0,0.193,455.98,53.19
1648492560,10.01,1.53,19.48,321.12,8.11,1613597.83,0.0,50.05,12544.0,298.0,6911.0,0.0,0.0,3.52,0.0,0.0,0.02,21.52,5.16,5538626560.0,40.57,0.0,10.0,0.0,5611.0,54.23,1.17,2.01,18.69,0.84,0.0,4198350848.0,1.59,0.0,4.68,25206.0,4199964330.67,1499078485.33,573.0,8.11,6553600.0,0.0,32117.0,231.03,124392.0,0.01,17.47,0.0,4018412885.33,0.0,0.0,0.0,0.191,443.97,50.95
1648566300,20.63,5.08,39.1,7576.63,10.76,3396819.33,0.0,50.1,12928.0,379.0,7216.0,0.0,0.0,8.98,0.0,0.0,0.02,22.47,5.87,13970784256.0,116.91,0.0,14.0,0.0,-1.0,85.59,0.79,5.17,35.48,0.66,0.0,11613014698.67,4.93,0.0,7.97,-1.0,11616411648.0,3203365546.67,620.0,10.76,6553600.0,0.0,32117.0,388.68,124376.0,0.01,19.01,0.0,10753328924.44,0.0,0.0,0.0,0.197,802.38,47.28
1648549920,19.18,4.76,19.48,463.58,11.15,1617915.33,0.0,49.85,12832.0,372.0,6838.0,0.0,0.0,5.09,0.0,0.0,0.0,21.29,5.98,5538626560.0,100.49,0.0,11.0,0.0,-1.0,116.41,1.17,4.48,30.26,0.67,0.0,4081692330.67,5.02,0.0,8.11,-1.0,4083310250.67,1470531754.67,616.0,11.15,6553600.0,0.0,32117.0,281.37,124560.0,0.01,17.78,0.0,4046959274.67,0.0,0.0,0.0,0.196,1130.07,156.3
1648533540,14.5,3.87,19.4,428.88,5.98,1617420.5,0.0,49.9,12736.0,411.5,7129.0,0.0,0.0,4.62,0.0,0.0,0.02,22.2,6.07,5538626560.0,86.98,0.0,11.0,0.0,-1.0,102.59,1.17,3.97,25.2,0.61,0.0,4071187797.33,3.85,0.0,4.7,-1.0,4072805034.67,1468406613.33,601.0,5.98,6553600.0,0.0,32117.0,263.1,124664.0,0.01,18.68,0.0,4049084757.33,0.0,0.0,0.0,0.194,953.86,130.37
1648517160,13.9,3.66,19.33,323.5,6.15,1615148.5,0.0,50.05,12672.0,453.0,6831.0,0.0,0.0,3.96,0.0,0.0,0.0,21.27,5.48,5538626560.0,45.57,0.0,10.0,0.0,5704.0,59.74,1.17,3.54,23.34,0.55,0.0,4158467413.33,3.69,0.0,5.34,25286.0,4160082261.33,1490244437.33,592.0,6.15,6553600.0,0.0,32117.0,227.2,124138.0,0.01,17.76,0.0,4027246933.33,0.0,0.0,0.0,0.193,499.78,61.45
1648500780,3.92,1.69,19.43,308.02,4.05,1613778.5,0.0,49.8,12640.0,303.5,6766.0,0.0,0.0,3.81,0.0,0.0,0.0,21.07,5.02,5538626560.0,39.53,0.0,10.0,9.0,-1.0,53.22,1.17,1.73,12.75,0.8,0.0,4191935829.33,1.86,0.0,2.32,-1.0,4193549653.33,1497818112.0,579.0,3.96,6553600.0,0.0,32117.0,221.39,123836.0,0.01,17.57,0.0,4019673088.0,0.0,0.0,0.86,0.193,410.9,45.93
1648484400,4.19,1.12,27.94,358.92,0.0,2372232.43,0.0,0.0,12960.0,0.0,7408.0,0.0,0.0,4.95,0.0,0.0,0.0,23.07,4.19,9052543853.71,161.5,0.0,10.0,0.0,-1.0,94.03,1.01,1.08,13.33,0.0,0.0,7164971885.71,1.16,0.0,0.0,-1.0,7167344054.86,2177014491.43,585.0,0.0,6553600.0,0.0,32117.0,225.75,0.0,0.01,19.53,0.0,6857413778.29,0.0,0.0,0.0,0.198,944.22,49.53
1648558140,20.02,4.65,28.13,479.83,10.39,2380198.43,0.0,50.0,12832.0,400.0,7069.0,0.0,0.0,5.01,0.0,0.0,0.0,22.01,6.31,9052543853.71,122.82,0.0,11.0,25.0,-1.0,114.47,1.01,4.62,31.35,0.59,0.0,6953682066.29,4.76,0.0,8.14,-1.0,6956062427.43,2124154587.43,616.0,9.82,6553600.0,0.0,32117.0,264.2,124510.0,0.01,18.54,0.0,6910273828.57,0.0,0.0,0.74,0.196,1157.05,132.25
1648541760,13.09,3.71,19.43,424.15,6.3,1617739.5,0.0,50.0,12864.0,432.5,7067.0,0.0,0.0,4.65,0.0,0.0,0.0,22.0,5.88,5538626560.0,89.37,0.0,11.0,0.0,5949.0,104.53,1.17,3.54,23.62,0.58,0.0,4090102784.0,3.91,0.0,5.24,25050.0,4091720362.67,1472880298.67,609.0,6.3,6553600.0,0.0,32117.0,266.93,124518.0,0.01,18.52,0.0,4044610901.33,0.0,0.0,0.0,0.196,1015.13,136.78
1648525380,14.62,4.1,19.42,437.73,6.2,1616921.17,0.0,50.1,12704.0,464.5,6961.0,0.0,0.0,4.31,0.0,0.0,0.0,21.67,6.09,5538626560.0,85.33,0.0,10.0,15.5,-1.0,101.16,1.17,3.89,25.02,0.52,0.0,4085234346.67,4.08,0.0,5.55,-1.0,4086851242.67,1471730517.33,594.0,6.03,6553600.0,0.0,32117.0,273.73,124436.0,0.01,18.18,0.0,4045760853.33,0.0,0.0,0.92,0.194,950.9,128.58
1648509000,15.91,4.68,19.44,307.98,12.53,1614065.0,0.0,49.7,12704.0,307.0,6852.0,0.0,0.0,3.62,0.0,0.0,0.02,21.33,5.12,5538626560.0,39.9,0.0,10.0,12.0,-1.0,53.44,1.17,3.66,24.65,0.78,0.0,4182893226.67,5.17,0.0,7.53,-1.0,4184507050.67,1495552512.0,583.0,12.07,6553600.0,0.0,32117.0,220.83,124724.0,0.01,17.79,0.0,4021938517.33,0.0,0.0,0.41,0.194,433.82,50.47
1648492620,9.93,1.63,19.48,327.27,8.5,1613599.33,0.0,50.0,12672.0,298.5,6912.0,0.0,0.0,3.85,0.0,0.0,0.0,21.52,5.14,5538626560.0,40.85,0.0,10.0,0.0,-1.0,54.06,1.17,2.07,18.93,0.84,0.0,4198278485.33,1.63,0.0,4.92,-1.0,4199891968.0,1499061760.0,573.0,8.5,6553600.0,0.0,32117.0,237.18,123990.0,0.01,17.47,0.0,4018429610.67,0.0,0.0,0.0,0.193,434.33,48.85
1648566360,19.17,5.17,39.1,2177.51,10.72,3396815.11,0.0,49.95,12960.0,399.0,10772.0,0.0,0.0,10.52,0.0,0.0,0.0,33.54,6.97,13970784256.0,118.91,0.0,12.0,0.0,9660.0,90.16,0.79,5.43,36.67,0.63,0.0,11612311096.89,4.98,0.0,8.35,21345.0,11615708956.44,3203184867.56,620.0,10.72,6553600.0,0.0,32117.0,272.64,123728.0,0.01,30.07,0.0,10753508238.22,0.0,0.0,0.0,0.198,926.27,54.78
1648549980,19.84,4.69,19.48,454.87,10.11,1617915.33,0.0,50.0,12704.0,373.0,6840.0,0.0,0.0,5.31,0.0,0.0,0.0,21.3,6.16,5538626560.0,99.99,0.0,11.0,0.0,-1.0,115.57,1.17,4.41,31.31,0.67,0.0,4081717589.33,4.98,0.0,7.36,-1.0,4083335509.33,1470534656.0,616.0,10.11,6553600.0,0.0,32117.0,277.83,124160.0,0.01,17.79,0.0,4046956544.0,0.0,0.0,0.0,0.194,1125.9,157.17
1648533600,14.03,4.5,28.04,2099.9,5.5,2378971.71,0.0,49.75,12736.0,411.5,7269.0,0.0,0.0,9.38,0.0,0.0,0.0,22.63,6.96,9052543853.71,101.38,0.0,11.0,13.5,-1.0,114.11,1.01,6.31,30.36,0.58,0.0,6951890358.86,4.06,0.0,4.35,-1.0,6954269549.71,2124206518.86,601.0,5.36,6553600.0,0.0,32117.0,308.17,123718.0,0.01,19.11,0.0,6910221750.86,0.0,0.0,1.18,0.194,1192.7,128.38
1648517220,13.82,3.63,19.33,328.8,6.59,1615154.83,0.0,50.0,12704.0,423.5,6836.0,0.0,0.0,3.58,0.0,0.0,0.0,21.28,5.54,5538626560.0,40.82,0.0,10.0,0.0,-1.0,54.76,1.17,3.49,22.94,0.59,0.0,4158046549.33,3.68,0.0,5.36,-1.0,4159661397.33,1490140842.67,592.0,6.59,6553600.0,0.0,32117.0,237.47,124950.0,0.01,17.78,0.0,4027350698.67,0.0,0.0,0.0,0.194,427.9,49.25
1648500840,4.04,1.68,19.43,323.41,3.87,1613776.5,0.0,49.75,12608.0,306.5,6763.0,0.0,0.0,3.91,0.0,0.0,0.0,21.06,5.12,5538626560.0,41.37,0.0,10.0,0.0,-1.0,55.67,1.17,1.63,13.07,0.81,0.0,4191891797.33,1.85,0.0,2.22,-1.0,4193505621.33,1497808554.67,579.0,3.87,6553600.0,0.0,32117.0,230.31,123682.0,0.01,17.56,0.0,4019682645.33,0.0,0.0,0.0,0.192,443.22,51.17
1648484460,0.0,1.12,27.96,386.59,0.0,2372236.29,0.0,0.0,12832.0,0.0,7319.0,0.0,0.0,5.52,0.0,0.0,0.0,22.79,4.47,9052543853.71,196.64,0.0,10.0,0.0,6185.0,107.77,1.01,1.11,9.99,0.0,0.0,7147360256.0,1.16,0.0,0.0,24797.0,7149732425.14,2172593005.71,585.0,0.0,6553600.0,0.0,32117.0,231.36,0.0,0.01,19.25,0.0,6861835117.71,0.0,0.0,0.0,0.196,1130.89,51.07
