timestamp,container_network_receive_MB.eth0,container_network_transmit_errors.eth0,container_network_receive_packets_dropped.eth0,container_network_transmit_MB.eth0,container_fs_reads./dev/vda,container_fs_reads./dev/vda1,container_memory_usage_MB,container_memory_rss,container_fs_sector_reads./dev/vda1,container_ulimits_soft.max_open_files,container_last_seen,container_fs_writes_MB./dev/vda,container_spec_cpu_period,container_tasks_state.stopped,container_tasks_state.iowaiting,container_tasks_state.running,container_tasks_state.uninterruptible,container_tasks_state.sleeping,container_fs_read_seconds./dev/vda1,container_fs_reads_MB./dev/vda,container_spec_memory_reservation_limit_MB,container_fs_reads_merged./dev/vda1,container_cpu_user_seconds,container_fs_write_seconds./dev/vda1,container_threads_max,container_spec_cpu_quota,container_file_descriptors,container_cpu_cfs_periods,container_fs_usage_MB./dev/vda1,container_fs_writes./dev/vda,container_fs_writes./dev/vda1,container_memory_working_set_MB,container_sockets,container_spec_memory_swap_limit_MB,container_fs_sector_writes./dev/vda1,container_memory_swap,container_fs_limit_MB./dev/vda1,container_memory_max_usage_MB,container_memory_failcnt,container_network_transmit_packets.eth0,container_fs_io_time_seconds./dev/vda1,container_cpu_load_average_10s,container_fs_inodes_free./dev/vda1,container_network_transmit_packets_dropped.eth0,container_fs_writes_merged./dev/vda1,container_cpu_cfs_throttled_periods,container_threads,container_fs_inodes./dev/vda1,container_network_receive_errors.eth0,container_memory_mapped_file,container_spec_memory_limit_MB,container_memory_failures.hierarchy.pgmajfault,container_memory_failures.container.pgmajfault,container_memory_failures.container.pgfault,container_memory_failures.hierarchy.pgfault,container_spec_cpu_shares,container_fs_io_time_weighted_seconds./dev/vda1,container_start_time_seconds,container_memory_cache,container_cpu_usage_seconds,container_cpu_cfs_throttled_seconds,container_fs_io_current./dev/vda1,container_network_receive_packets.eth0,container_cpu_system_seconds
1648522800,0.0291996,0.0,0.0,1.0272994,0.0,0.0,210.38672,128241660.0,0.0,1048576.0,1648522900.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,30000.0,92.0,87.5,23.722656,0.0,0.0,153.73438,5.0,300.0,0.0,0.0,604630.75,261.4336,0.0,201.5,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,17301504.0,300.0,0.0,0.0,16.5,16.5,204.0,0.0,1648517000.0,80347140.0,0.15939823,0.0,0.0,346.0,0.03
1648522860,0.0291996,0.0,0.0,1.0272994,0.0,0.0,210.34766,128241660.0,0.0,1048576.0,1648522900.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,30000.0,92.0,87.5,23.722656,0.0,0.0,153.69531,5.0,300.0,0.0,0.0,604630.75,261.4336,0.0,201.5,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,17301504.0,300.0,0.0,0.0,16.5,16.5,204.0,0.0,1648517000.0,80347140.0,0.15939823,0.0,0.0,346.0,0.03
1648522920,0.031801224,0.0,0.0,1.3472176,0.0,0.0,210.3086,128241660.0,0.0,1048576.0,1648523000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,30000.0,92.0,117.5,23.722656,0.0,0.0,153.65625,5.0,300.0,0.0,0.0,604630.75,261.4336,0.0,221.5,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,17301504.0,300.0,0.0,0.0,115.5,115.5,204.0,0.0,1648517000.0,80347140.0,0.20935914,0.0,0.0,382.0,0.02
1648522980,0.031630516,0.0,0.0,1.3494215,0.0,0.0,210.49023,128241660.0,0.0,1048576.0,1648523000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,30000.0,92.0,98.5,23.722656,0.0,0.0,155.2168,5.0,300.0,0.0,0.0,604630.75,261.4336,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,17301504.0,300.0,0.0,0.0,82.5,82.5,204.0,0.0,1648517000.0,80279550.0,0.1855208,0.0,0.0,386.0,0.035
1648523040,0.035242558,0.0,0.0,1.3544931,0.0,0.0,210.66797,128241660.0,0.0,1048576.0,1648523100.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155,0.0,0.0,30000.0,92.0,110.5,23.722656,0.0,0.0,156.90234,5.0,300.0,0.0,0.0,604630.75,261.4336,0.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,17301504.0,300.0,0.0,0.0,66.0,66.0,204.0,0.0,1648517000.0,80211970.0,0.20025781,0.0,0.0,423.0,0.025
1648523100,0.03416872,0.0,0.0,1.3536444,0.0,0.0,210.76953,128241660.0,0.0,1048576.0,1648523100.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135,0.0,0.0,30000.0,92.0,112.0,23.722656,0.0,0.0,157.19727,5.0,300.0,0.0,0.0,604630.75,261.4336,0.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,17301504.0,300.0,0.0,0.0,49.5,49.5,204.0,0.0,1648517000.0,80211970.0,0.1845641,0.0,0.0,409.0,0.025
1648523160,0.03412819,0.0,0.0,1.3514309,0.0,0.0,210.8125,128241660.0,0.0,1048576.0,1648523300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155,0.0,0.0,30000.0,92.0,122.5,23.722656,0.0,0.0,157.30469,5.0,300.0,0.0,0.0,604630.75,261.4336,0.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,17301504.0,300.0,0.0,0.0,115.5,115.5,204.0,0.0,1648517000.0,80211970.0,0.21010423,0.0,0.0,411.0,0.03
1648523220,0.031511784,0.0,0.0,1.3437948,0.0,0.0,210.8125,128241660.0,0.0,1048576.0,1648523300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,30000.0,92.0,115.0,23.722656,0.0,0.0,157.30469,5.0,300.0,0.0,0.0,604630.75,261.4336,0.0,214.5,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,17301504.0,300.0,0.0,0.0,99.0,99.0,204.0,0.0,1648517000.0,80211970.0,0.20908697,0.0,0.0,380.5,0.035
1648523280,0.03576517,0.0,0.0,1.3572612,0.0,0.0,210.8125,128241660.0,0.0,1048576.0,1648523300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,30000.0,92.0,91.5,23.722656,0.0,0.0,157.30469,5.0,300.0,0.0,0.0,604630.75,261.4336,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,17301504.0,300.0,0.0,0.0,99.0,99.0,204.0,0.0,1648517000.0,80211970.0,0.17946596,0.0,0.0,434.0,0.02
1648523340,0.034362793,0.0,0.0,1.3541064,0.0,0.0,210.8125,128241660.0,0.0,1048576.0,1648523400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0,30000.0,92.0,103.0,23.722656,0.0,0.0,157.30469,5.0,300.0,0.0,0.0,604630.75,261.4336,0.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,17301504.0,300.0,0.0,0.0,82.5,82.5,204.0,0.0,1648517000.0,80211970.0,0.20685695,0.0,0.0,413.0,0.025
1648523400,0.030753613,0.0,0.0,1.3466082,0.0,0.0,210.81445,128241660.0,0.0,1048576.0,1648523400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155,0.0,0.0,30000.0,92.0,104.0,23.722656,0.0,0.0,157.30664,5.0,300.0,0.0,0.0,604630.75,261.4336,0.0,214.5,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,17301504.0,300.0,0.0,0.0,16.5,16.5,204.0,0.0,1648517000.0,80211970.0,0.20021716,0.0,0.0,368.0,0.03
1648523460,0.0324111,0.0,0.0,1.3503532,0.0,0.0,210.8164,128241660.0,0.0,1048576.0,1648523500.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,30000.0,92.0,116.0,23.722656,0.0,0.0,157.3086,5.0,300.0,0.0,0.0,604630.75,261.4336,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,17301504.0,300.0,0.0,0.0,66.0,66.0,204.0,0.0,1648517000.0,80211970.0,0.20971072,0.0,0.0,386.5,0.035
1648523520,0.029284954,0.0,0.0,1.3368945,0.0,0.0,210.8164,128241660.0,0.0,1048576.0,1648523500.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,30000.0,92.0,98.5,23.722656,0.0,0.0,157.3086,5.0,300.0,0.0,0.0,604630.75,261.4336,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,17301504.0,300.0,0.0,0.0,132.0,132.0,204.0,0.0,1648517000.0,80211970.0,0.18485945,0.0,0.0,360.0,0.01
