timestamp,container_network_receive_MB.eth0,container_network_transmit_errors.eth0,container_network_receive_packets_dropped.eth0,container_network_transmit_MB.eth0,container_fs_reads./dev/vda1,container_fs_reads./dev/vda,container_memory_usage_MB,container_memory_rss,container_fs_sector_reads./dev/vda1,container_ulimits_soft.max_open_files,container_last_seen,container_fs_writes_MB./dev/vda,container_spec_cpu_period,container_tasks_state.running,container_tasks_state.iowaiting,container_tasks_state.stopped,container_tasks_state.uninterruptible,container_tasks_state.sleeping,container_fs_read_seconds./dev/vda1,container_fs_reads_MB./dev/vda,container_spec_memory_reservation_limit_MB,container_fs_reads_merged./dev/vda1,container_cpu_user_seconds,container_fs_write_seconds./dev/vda1,container_threads_max,container_spec_cpu_quota,container_file_descriptors,container_cpu_cfs_periods,container_fs_usage_MB./dev/vda1,container_fs_writes./dev/vda,container_fs_writes./dev/vda1,container_memory_working_set_MB,container_sockets,container_spec_memory_swap_limit_MB,container_fs_sector_writes./dev/vda1,container_memory_swap,container_fs_limit_MB./dev/vda1,container_memory_max_usage_MB,container_memory_failcnt,container_network_transmit_packets.eth0,container_fs_io_time_seconds./dev/vda1,container_cpu_load_average_10s,container_fs_inodes_free./dev/vda1,container_network_transmit_packets_dropped.eth0,container_fs_writes_merged./dev/vda1,container_cpu_cfs_throttled_periods,container_threads,container_fs_inodes./dev/vda1,container_network_receive_errors.eth0,container_memory_mapped_file,container_spec_memory_limit_MB,container_memory_failures.container.pgmajfault,container_memory_failures.container.pgfault,container_memory_failures.hierarchy.pgmajfault,container_memory_failures.hierarchy.pgfault,container_spec_cpu_shares,container_fs_io_time_weighted_seconds./dev/vda1,container_start_time_seconds,container_memory_cache,container_cpu_usage_seconds,container_cpu_cfs_throttled_seconds,container_fs_io_current./dev/vda1,container_network_receive_packets.eth0,container_cpu_system_seconds
1648648800,0.045479298,0.0,0.0,2.0275064,0.0,31101.0,127.87891,61353984.0,0.0,1048576.0,1648648800.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,5198.3613,0.0,0.0,0.055,0.0,0.0,20000.0,25.0,560.5,1144.0234,0.0,0.0,100.97266,3.0,128.0,0.0,0.0,604630.75,128.0039,28.0,342.5,0.0,0.0,0.0,0.0,0.0,51.0,77.0,0.0,0.0,0.0,128.0,0.0,25063.5,0.0,25063.5,102.0,0.0,1647144300.0,57411584.0,6.8378057,1.3525835,0.0,499.0,6.665
1648648860,0.045479298,0.0,0.0,2.0275064,0.0,31101.0,127.92969,61747200.0,0.0,1048576.0,1648649000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,5198.3613,0.0,0.0,0.055,0.0,0.0,20000.0,25.0,560.5,1144.0234,0.0,0.0,101.70703,3.0,128.0,0.0,0.0,604630.75,128.0039,28.0,342.5,0.0,0.0,0.0,0.0,0.0,51.0,77.0,0.0,0.0,0.0,128.0,0.0,25063.5,0.0,25063.5,102.0,0.0,1647144300.0,56725504.0,6.8378057,1.3525835,0.0,499.0,6.665
1648648920,0.044031143,0.0,0.0,2.6571765,0.0,36530.5,127.921875,61401090.0,0.0,1048576.0,1648649000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,5559.0645,0.0,0.0,0.04,0.0,0.0,20000.0,25.0,576.0,1144.0234,0.0,0.0,100.84766,3.0,128.0,0.0,0.0,604630.75,128.0039,28.0,322.0,0.0,0.0,0.0,0.0,0.0,84.5,77.0,0.0,0.0,0.0,128.0,0.0,25723.5,0.0,25723.5,102.0,0.0,1647144300.0,57614336.0,7.502626,2.5335655,0.0,536.0,7.35
1648648980,0.051807404,0.0,0.0,3.3124928,0.0,37504.5,127.91211,61427710.0,0.0,1048576.0,1648649000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,6305.668,0.0,0.0,0.035,0.0,0.0,20000.0,25.0,661.5,1144.0273,0.0,0.0,101.13672,3.0,128.0,0.0,0.0,604630.75,128.0039,28.5,368.5,0.0,0.0,0.0,0.0,0.0,57.0,77.0,0.0,0.0,0.0,128.0,0.0,29964.0,0.0,29964.0,102.0,0.0,1647144300.0,57341950.0,8.030304,1.3967947,0.0,646.0,7.86
1648649040,0.33111477,0.0,0.0,2.6784968,0.0,31997.0,127.91992,61245440.0,0.0,1048576.0,1648649100.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,5504.0645,0.0,0.0,0.03,0.0,0.0,20000.0,25.0,579.0,1144.0273,0.0,0.0,101.40625,3.0,128.0,0.0,0.0,604630.75,128.0039,29.0,384.0,0.0,0.0,0.0,0.0,0.0,38.5,77.0,0.0,0.0,0.0,128.0,0.0,36762.0,0.0,36762.0,102.0,0.0,1647144300.0,56956930.0,6.9852304,0.877961,0.0,574.5,6.8
1648649100,0.32888222,0.0,0.0,2.6684384,0.0,35826.5,127.84766,61652990.0,0.0,1048576.0,1648649100.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,5552.295,0.0,0.0,0.055,0.0,0.0,20000.0,25.0,570.0,1144.0273,0.0,0.0,101.00391,3.0,128.0,0.0,0.0,604630.75,128.0039,29.0,367.0,0.0,0.0,0.0,0.0,0.0,81.0,77.0,0.0,0.0,0.0,128.0,0.0,38791.5,0.0,38791.5,102.0,0.0,1647144300.0,56870910.0,7.4603815,2.8323905,0.0,557.5,7.21
1648649160,0.046146393,0.0,0.0,2.6739182,0.0,34335.0,127.859375,61224960.0,0.0,1048576.0,1648649200.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,5741.74,0.0,0.0,0.06,0.0,0.0,20000.0,25.0,610.0,1144.0273,0.0,0.0,101.365234,3.0,128.0,0.0,0.0,604630.75,128.0039,29.0,349.5,0.0,0.0,0.0,0.0,0.0,53.5,77.0,0.0,0.0,0.0,128.0,0.0,40375.5,0.0,40375.5,102.0,0.0,1647144300.0,57360384.0,7.47583,1.8513734,0.0,523.5,7.23
1648649220,0.046902657,0.0,0.0,2.670569,0.0,28089.5,127.96094,61394944.0,0.0,1048576.0,1648649200.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,4899.8438,0.0,0.0,0.045,0.0,0.0,20000.0,25.0,681.0,1144.0312,0.0,0.0,101.259766,3.0,128.0,0.0,0.0,604630.75,128.0039,29.0,353.0,0.0,0.0,0.0,0.0,0.0,20.5,77.0,0.0,0.0,0.0,128.0,0.0,28528.5,0.0,28528.5,102.0,0.0,1647144300.0,57290750.0,6.2879453,0.49452865,0.0,541.0,6.015
1648649280,0.046915054,0.0,0.0,2.6711717,0.0,14933.5,127.927734,61317120.0,0.0,1048576.0,1648649300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,2515.084,0.0,0.0,0.025,0.0,0.0,20000.0,25.0,471.0,1144.0312,0.0,0.0,101.12109,3.0,128.0,0.0,0.0,604630.75,128.0039,29.0,359.0,0.0,0.0,0.0,0.0,0.0,3.0,77.0,0.0,0.0,0.0,128.0,0.0,11121.0,0.0,11121.0,102.0,0.0,1647144300.0,57260030.0,3.294468,0.32874468,0.0,551.5,3.14
1648649340,0.044627666,0.0,0.0,2.6651096,0.0,25596.0,127.85156,60880896.0,0.0,1048576.0,1648649300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,4003.4316,0.0,0.0,0.07,0.0,0.0,20000.0,25.0,719.5,1144.0352,0.0,0.0,101.00391,3.0,128.0,0.0,0.0,604630.75,128.0039,29.0,340.0,0.0,0.0,0.0,0.0,0.0,6.5,77.0,0.0,0.0,0.0,128.0,0.0,19404.0,0.0,19404.0,102.0,0.0,1647144300.0,58062850.0,5.40349,0.5055072,0.0,529.0,5.2
