timestamp,container_network_receive_MB.eth0,container_network_transmit_errors.eth0,container_network_receive_packets_dropped.eth0,container_network_transmit_MB.eth0,container_fs_reads./dev/vda,container_fs_reads./dev/vda1,container_memory_usage_MB,container_memory_rss,container_fs_sector_reads./dev/vda1,container_ulimits_soft.max_open_files,container_last_seen,container_fs_writes_MB./dev/vda,container_spec_cpu_period,container_tasks_state.sleeping,container_tasks_state.iowaiting,container_tasks_state.stopped,container_tasks_state.running,container_tasks_state.uninterruptible,container_fs_read_seconds./dev/vda1,container_fs_reads_MB./dev/vda,container_spec_memory_reservation_limit_MB,container_fs_reads_merged./dev/vda1,container_cpu_user_seconds,container_fs_write_seconds./dev/vda1,container_threads_max,container_spec_cpu_quota,container_file_descriptors,container_cpu_cfs_periods,container_fs_usage_MB./dev/vda1,container_fs_writes./dev/vda1,container_fs_writes./dev/vda,container_memory_working_set_MB,container_sockets,container_spec_memory_swap_limit_MB,container_fs_sector_writes./dev/vda1,container_memory_swap,container_fs_limit_MB./dev/vda1,container_memory_max_usage_MB,container_memory_failcnt,container_network_transmit_packets.eth0,container_fs_io_time_seconds./dev/vda1,container_cpu_load_average_10s,container_fs_inodes_free./dev/vda1,container_network_transmit_packets_dropped.eth0,container_fs_writes_merged./dev/vda1,container_cpu_cfs_throttled_periods,container_threads,container_fs_inodes./dev/vda1,container_network_receive_errors.eth0,container_memory_mapped_file,container_spec_memory_limit_MB,container_memory_failures.hierarchy.pgmajfault,container_memory_failures.hierarchy.pgfault,container_memory_failures.container.pgfault,container_memory_failures.container.pgmajfault,container_spec_cpu_shares,container_fs_io_time_weighted_seconds./dev/vda1,container_start_time_seconds,container_memory_cache,container_cpu_usage_seconds,container_cpu_cfs_throttled_seconds,container_fs_io_current./dev/vda1,container_network_receive_packets.eth0,container_cpu_system_seconds
1648648800,0.021660328,0.0,0.0,0.3108554,0.0,0.0,71.6875,33775616.0,0.0,1048576.0,1648648800.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,22.0,4.0,44.257812,0.0,0.0,68.08594,4.0,256.0,0.0,0.0,604630.75,256.0,0.0,166.5,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1419264.0,256.0,0.0,16.5,16.5,0.0,204.0,0.0,1648164200.0,27029504.0,0.002468762,0.0,0.0,267.5,0.0
1648648860,0.021660328,0.0,0.0,0.3108554,0.0,0.0,71.6875,33775616.0,0.0,1048576.0,1648649000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,22.0,4.0,44.257812,0.0,0.0,68.08594,4.0,256.0,0.0,0.0,604630.75,256.0,0.0,166.5,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1419264.0,256.0,0.0,16.5,16.5,0.0,204.0,0.0,1648164200.0,27029504.0,0.002468762,0.0,0.0,267.5,0.0
1648648920,0.022929668,0.0,0.0,0.31164837,0.0,0.0,71.6875,33775616.0,0.0,1048576.0,1648649000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,40000.0,22.0,3.0,44.257812,0.0,0.0,68.08594,4.0,256.0,0.0,0.0,604630.75,256.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1351680.0,256.0,0.0,16.5,16.5,0.0,204.0,0.0,1648164200.0,27029504.0,0.002485539,0.0,0.0,283.5,0.0
1648648980,0.022563934,0.0,0.0,0.3118086,0.0,0.0,71.68555,33775616.0,0.0,1048576.0,1648649000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,22.0,3.0,44.259766,0.0,0.0,68.083984,4.0,256.0,0.0,0.0,604630.75,256.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1486848.0,256.0,0.0,16.5,16.5,0.0,204.0,0.0,1648164200.0,27029504.0,0.002379624,0.0,0.0,275.5,0.0
1648649040,0.0228405,0.0,0.0,0.31212902,0.0,0.0,71.671875,33775616.0,0.0,1048576.0,1648649100.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,22.0,3.0,44.26172,0.0,0.0,68.07031,4.0,256.0,0.0,0.0,604630.75,256.0,0.0,174.5,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1622016.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1648164200.0,27029504.0,0.0018776495,0.0,0.0,279.5,0.0
1648649100,0.021940708,0.0,0.0,0.310668,0.0,0.0,71.671875,33775616.0,0.0,1048576.0,1648649100.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,22.0,3.0,44.26172,0.0,0.0,68.07031,4.0,256.0,0.0,0.0,604630.75,256.0,0.0,171.5,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1486848.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1648164200.0,27029504.0,0.0019096825,0.0,0.0,268.0,0.0
1648649160,0.02106905,0.0,0.0,0.3103919,0.0,0.0,71.671875,33775616.0,0.0,1048576.0,1648649200.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,21.5,5.0,44.26367,0.0,0.0,67.94141,3.5,256.0,0.0,0.0,604630.75,256.0,0.0,162.5,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1554432.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1648164200.0,27029504.0,0.0034977226,0.0,0.0,259.5,0.0
1648649220,0.025190353,0.0,0.0,0.31332588,0.0,0.0,71.671875,33775616.0,0.0,1048576.0,1648649200.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,22.0,1.0,44.265625,0.0,0.0,67.94141,4.0,256.0,0.0,0.0,604630.75,256.0,0.0,193.5,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1622016.0,256.0,0.0,0.0,0.0,0.0,204.0,0.0,1648164200.0,27029504.0,0.0007591245,0.0,0.0,309.0,0.0
1648649280,0.019784927,0.0,0.0,0.3106494,0.0,0.0,71.671875,33775616.0,0.0,1048576.0,1648649300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,40000.0,22.0,5.3333335,44.26823,0.0,0.0,67.94141,4.0,256.0,0.0,0.0,604630.75,256.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1486848.0,256.0,0.0,22.0,22.0,0.0,204.0,0.0,1648164200.0,27029504.0,0.0037193026,9.094947e-13,0.0,242.0,1.4210855e-14
1648649340,0.025025845,0.0,0.0,0.3130951,0.0,0.0,71.671875,33775616.0,0.0,1048576.0,1648649300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,22.0,0.6666667,44.26953,0.0,0.0,67.94141,4.0,256.0,0.0,0.0,604630.75,256.0,0.0,190.5,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1757184.0,256.0,0.0,11.0,11.0,0.0,204.0,0.0,1648164200.0,27029504.0,0.00040868332,9.094947e-13,0.0,309.5,0.0
