timestamp,system.io.util,system.swap.so,system.io.r_await,system.io.r_s,system.net.packets_out.error,system.fs.inodes.free,system.swap.total,system.swap.si,system.net.tcp.in_segs,system.load.1,system.swap.free,system.net.udp.out_datagrams,system.net.udp.snd_buf_errors,system.io.rkb_s,system.io.w_s,system.fs.inodes.total,system.mem.used,system.os.nofile.current,system.fs.inodes.in_use,system.load.5,system.process.zombie.num,system.cpu.user,system.io.svctm,system.tcp.retrans_pct,system.swap.used,system.disk.pct_usage,system.net.udp.in_errors,system.net.tcp.out_segs,system.io.avg_q_sz,system.net.udp.in_datagrams,system.io.w_await,system.os.nofile.max,system.udp.connect.num,system.disk.used,system.net.udp.rcv_buf_errors,system.mem.real.used,system.mem.pct_usage,system.swap.used_pct,system.fs.inodes.used,system.os.nofile.used_pct,system.load.15,system.mem.total,system.net.packets_in.count,system.disk.free,system.mem.real.pct_useage,system.disk.total,system.cpu.iowait,system.cpu.system,system.io.await,system.disk.readonly,system.net.packets_in.error,system.net.packets_out.count,system.mem.usable,system.cpu.pct_usage,system.net.tcp.retrans_segs
1648803840,0.0,0.0,0.0,0.0,0.0,7361212416.0,0.0,0.0,347.05,1.84,0.0,142.33,0.0,0.0,0.0,7363616182.86,9658.0,12800.0,1.01,1.69,806.0,10.11,0.0,0.01,0.0,29.33,0.0,4106.5,0.0,1070.22,0.0,6553600.0,11.0,7115951542.86,0.0,-1.0,30.07,0.0,2404023.43,0.195,1.38,32117.0,98.3,2218069723.43,26.56,9352136996.57,1.37,4.4,0.0,0.0,0.0,114.01,-1.0,15.88,0.03
1648787460,1.3,0.0,0.0,0.0,0.0,4330634922.67,0.0,0.0,269.43,1.45,0.0,133.2,0.0,0.0,40.0,4332266837.33,6720.0,12704.0,1.17,1.06,762.0,3.72,0.17,0.01,0.0,20.98,0.0,427.48,0.07,979.38,1.08,6553600.0,10.0,4168956928.0,0.0,5595.0,20.92,0.0,1631677.83,0.194,1.05,32117.0,86.02,1523296938.67,17.42,5713389226.67,0.0,3.02,1.08,0.0,0.0,102.75,25397.0,6.74,0.03
1648771080,0.0,0.0,0.0,0.0,0.0,4422234794.67,0.0,0.0,213.3,0.53,0.0,52.11,0.0,0.0,0.0,4423862954.67,6820.0,12704.0,1.17,2.18,744.0,6.17,0.0,0.01,0.0,21.5,0.0,298.51,0.0,435.74,0.0,6553600.0,10.0,4149540181.33,0.0,-1.0,21.23,0.0,1628552.67,0.194,3.91,32117.0,41.23,1542713685.33,17.72,5713389226.67,0.1,2.54,0.0,0.0,0.0,56.14,-1.0,8.82,0.0
1648754700,49.2,0.0,10.74,386.0,0.0,4436009984.0,0.0,0.0,229.77,10.4,0.0,49.23,0.0,123032.0,0.0,4437638144.0,7081.0,12768.0,1.17,14.86,723.0,6.29,0.63,0.01,0.0,21.07,0.0,321.36,8.11,425.49,0.0,6553600.0,15.0,4143593130.67,0.0,-1.0,22.05,0.0,1628240.17,0.195,12.98,32117.0,40.53,1548660736.0,18.33,5713389226.67,19.94,3.94,10.74,0.0,0.0,55.19,-1.0,30.16,0.0
1648828440,49.3,0.0,12.31,347.0,0.0,7205658038.86,0.0,0.0,222.74,4.87,0.0,54.41,0.0,124262.0,0.0,7208063561.14,7151.0,12928.0,1.01,4.62,847.0,4.72,0.71,0.01,0.0,29.56,0.0,390.13,8.37,661.38,0.0,6553600.0,12.0,7155427035.43,0.0,-1.0,22.27,0.0,2405237.14,0.197,4.34,32117.0,83.06,2178594084.57,18.78,9352136996.57,22.44,4.4,12.31,0.0,0.0,73.83,-1.0,31.54,0.0
1648812060,49.85,0.0,8.37,294.0,0.0,4292937728.0,0.0,0.0,276.9,4.53,0.0,174.32,0.0,123790.0,16.5,4294570325.33,7023.0,12768.0,1.17,3.48,823.0,4.75,0.81,0.01,0.0,21.08,0.0,460.98,4.78,1198.15,0.47,6553600.0,10.0,4178789376.0,0.0,5889.0,21.87,0.0,1632399.5,0.195,3.24,32117.0,105.8,1513464490.67,18.35,5713389226.67,10.16,4.7,7.95,0.0,0.0,122.91,25099.0,19.61,0.0
1648795680,0.0,0.0,0.0,0.0,0.0,4308942506.67,0.0,0.0,256.58,0.81,0.0,126.27,0.0,0.0,0.0,4310574762.67,6860.0,12672.0,1.17,1.87,788.0,4.46,0.0,0.01,0.0,20.97,0.0,412.8,0.0,919.75,0.0,6553600.0,10.0,4174160554.67,0.0,-1.0,21.36,0.0,1631853.0,0.193,1.55,32117.0,83.96,1518093482.67,17.85,5713389226.67,2.09,2.75,0.0,0.0,0.0,100.4,-1.0,9.3,0.03
1648779300,0.45,0.0,0.0,0.0,0.0,4352985770.67,0.0,0.0,242.63,0.41,0.0,96.2,0.0,0.0,11.5,4354615637.33,6848.0,12800.0,1.17,1.14,761.0,3.04,0.19,0.01,0.0,21.0,0.0,369.19,0.01,732.2,0.81,6553600.0,10.0,4163575808.0,0.0,-1.0,21.32,0.0,1630134.0,0.195,1.26,32117.0,66.75,1528678229.33,17.72,5713389226.67,0.97,2.83,0.81,0.0,0.0,82.04,-1.0,6.85,0.0
1648762920,49.75,0.0,11.77,322.0,0.0,4428964181.33,0.0,0.0,215.7,5.99,0.0,46.84,0.0,123752.0,0.0,4430592341.33,7083.0,12640.0,1.17,11.07,738.0,6.33,0.77,0.01,0.0,21.39,0.0,306.11,7.42,415.46,0.0,6553600.0,15.0,4147229013.33,0.0,-1.0,22.05,0.0,1628370.0,0.193,12.52,32117.0,39.46,1545025024.0,18.5,5713389226.67,20.03,3.67,11.77,0.0,0.0,54.38,-1.0,30.03,0.0
1648746540,49.45,0.0,11.24,371.0,0.0,7582584832.0,0.0,0.0,226.9,4.56,0.0,51.41,0.0,124202.0,0.0,7584982162.29,7054.0,12864.0,1.01,5.88,741.0,7.26,0.67,0.01,0.0,28.36,0.0,386.56,8.16,642.93,0.0,6553600.0,10.0,7055859126.86,0.0,-1.0,21.96,0.0,2397076.57,0.196,6.21,32117.0,82.01,2278162139.43,18.38,9352136996.57,19.13,5.38,11.24,0.0,0.0,72.43,-1.0,31.77,0.0
1648820280,49.95,0.0,12.33,296.0,0.0,9382873088.0,0.0,0.0,252.85,4.44,0.0,82.02,0.0,124296.0,0.0,9385857024.0,6966.0,12896.0,0.89,4.11,835.0,3.47,0.85,0.01,0.0,35.89,0.0,471.03,7.16,945.08,0.0,6553600.0,10.0,9389579264.0,0.0,-1.0,21.69,0.0,2983526.5,0.197,4.33,32117.0,123.47,2675767040.0,18.19,12081198080.0,17.64,3.81,12.33,0.0,0.0,98.4,-1.0,24.94,0.02
1648803900,0.75,0.0,0.0,0.0,0.0,7360680521.14,0.0,0.0,402.69,1.32,0.0,134.02,0.0,0.0,41.5,7363083702.86,7474.0,12832.0,1.01,1.55,806.0,9.33,0.09,0.01,0.0,29.34,0.0,4806.78,0.04,1041.51,0.7,6553600.0,10.0,7116088466.29,0.0,-1.0,23.27,0.0,2404007.71,0.196,1.35,32117.0,96.72,2217933238.86,19.75,9352136996.57,2.74,4.06,0.7,0.0,0.0,110.71,-1.0,16.12,0.0
1648787520,0.0,0.0,0.0,0.0,0.0,4330586112.0,0.0,0.0,255.54,1.81,0.0,134.21,0.0,0.0,0.0,4332218026.67,6717.0,12736.0,1.17,1.23,762.0,4.34,0.0,0.01,0.0,20.98,0.0,417.59,0.0,963.05,0.0,6553600.0,10.0,4168933034.67,0.0,-1.0,20.91,0.0,1631673.0,0.194,1.11,32117.0,88.62,1523321002.67,17.42,5713389226.67,0.02,3.22,0.0,0.0,0.0,105.26,-1.0,7.58,0.0
