timestamp,container_network_receive_MB.eth0,container_network_transmit_errors.eth0,container_network_receive_packets_dropped.eth0,container_network_transmit_MB.eth0,container_fs_reads./dev/vda1,container_fs_reads./dev/vda,container_memory_usage_MB,container_memory_rss,container_fs_sector_reads./dev/vda1,container_ulimits_soft.max_open_files,container_last_seen,container_fs_writes_MB./dev/vda,container_spec_cpu_period,container_tasks_state.running,container_tasks_state.stopped,container_tasks_state.uninterruptible,container_tasks_state.sleeping,container_tasks_state.iowaiting,container_fs_read_seconds./dev/vda1,container_fs_reads_MB./dev/vda,container_spec_memory_reservation_limit_MB,container_fs_reads_merged./dev/vda1,container_cpu_user_seconds,container_fs_write_seconds./dev/vda1,container_threads_max,container_spec_cpu_quota,container_file_descriptors,container_cpu_cfs_periods,container_fs_usage_MB./dev/vda1,container_fs_writes./dev/vda1,container_fs_writes./dev/vda,container_memory_working_set_MB,container_sockets,container_spec_memory_swap_limit_MB,container_fs_sector_writes./dev/vda1,container_memory_swap,container_fs_limit_MB./dev/vda1,container_memory_max_usage_MB,container_memory_failcnt,container_network_transmit_packets.eth0,container_fs_io_time_seconds./dev/vda1,container_cpu_load_average_10s,container_fs_inodes_free./dev/vda1,container_network_transmit_packets_dropped.eth0,container_fs_writes_merged./dev/vda1,container_cpu_cfs_throttled_periods,container_threads,container_fs_inodes./dev/vda1,container_network_receive_errors.eth0,container_memory_mapped_file,container_spec_memory_limit_MB,container_memory_failures.container.pgmajfault,container_memory_failures.hierarchy.pgfault,container_memory_failures.hierarchy.pgmajfault,container_memory_failures.container.pgfault,container_spec_cpu_shares,container_fs_io_time_weighted_seconds./dev/vda1,container_start_time_seconds,container_memory_cache,container_cpu_usage_seconds,container_cpu_cfs_throttled_seconds,container_fs_io_current./dev/vda1,container_network_receive_packets.eth0,container_cpu_system_seconds
1648807200,0.029659748,0.0,0.0,0.4308281,0.0,0.0,117.99609,37679104.0,0.0,1048576.0,1648807300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,40000.0,10.0,51.5,51.65039,0.0,0.0,116.97656,4.0,1025.0,0.0,0.0,604630.75,1025.0039,4.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,1757184.0,1025.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144300.0,52314110.0,0.033610716,0.0,0.0,315.5,0.01
1648807260,0.029659748,0.0,0.0,0.4308281,0.0,0.0,117.99609,37679104.0,0.0,1048576.0,1648807300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,40000.0,10.0,51.5,51.652344,0.0,0.0,116.97656,4.0,1025.0,0.0,0.0,604630.75,1025.0039,4.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,1757184.0,1025.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144300.0,52314110.0,0.033610716,0.0,0.0,315.5,0.01
1648807320,0.028558731,0.0,0.0,0.42706823,0.0,0.0,117.99609,37679104.0,0.0,1048576.0,1648807400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,40000.0,10.0,51.5,51.652344,0.0,0.0,116.97656,4.0,1025.0,0.0,0.0,604630.75,1025.0039,4.0,205.5,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,1757184.0,1025.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144300.0,52314110.0,0.037493072,0.0,0.0,299.5,0.01
1648807380,0.03408003,0.0,0.0,0.43422556,0.0,0.0,117.99609,37679104.0,0.0,1048576.0,1648807400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,40000.0,10.0,55.0,51.654297,0.0,0.0,116.91211,4.0,1025.0,0.0,0.0,604630.75,1025.0039,4.0,238.5,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,1757184.0,1025.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144300.0,52314110.0,0.034128517,0.0,0.0,341.0,0.01
1648807440,0.023457527,0.0,0.0,0.4207301,0.0,0.0,117.99219,37679104.0,0.0,1048576.0,1648807400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,40000.0,10.0,47.0,51.65625,0.0,0.0,116.26367,4.0,1025.0,0.0,0.0,604630.75,1025.0039,4.0,171.5,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,1757184.0,1025.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144300.0,52178944.0,0.029377459,0.0,0.0,260.5,0.0
1648807500,0.029675007,0.0,0.0,0.4285903,0.0,0.0,117.99219,37679104.0,0.0,1048576.0,1648807600.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,40000.0,10.0,47.0,51.658203,0.0,0.0,116.328125,4.0,1025.0,0.0,0.0,604630.75,1025.0039,4.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,1757184.0,1025.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144300.0,52178944.0,0.033958282,0.0,0.0,316.5,0.01
1648807560,0.031516552,0.0,0.0,0.43090296,0.0,0.0,117.99219,37679104.0,0.0,1048576.0,1648807600.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,40000.0,10.0,52.0,51.660156,0.0,0.0,116.07031,4.0,1025.0,0.0,0.0,604630.75,1025.0039,4.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,1757184.0,1025.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144300.0,52178944.0,0.039169867,0.0,0.0,331.0,0.0
1648807620,0.034737587,0.0,0.0,0.4321003,0.0,0.0,117.99219,37679104.0,0.0,1048576.0,1648807700.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,40000.0,10.0,50.0,51.660156,0.0,0.0,116.07031,4.0,1025.0,0.0,0.0,604630.75,1025.0039,4.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,1757184.0,1025.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144300.0,52178944.0,0.036598917,0.0,0.0,339.0,0.015
1648807680,0.029585838,0.0,0.0,0.42776394,0.0,0.0,117.99219,37679104.0,0.0,1048576.0,1648807700.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,40000.0,10.0,58.0,51.66211,0.0,0.0,116.07031,4.0,1025.0,0.0,0.0,604630.75,1025.0039,4.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,1757184.0,1025.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144300.0,52178944.0,0.03642084,0.0,0.0,312.0,0.01
1648807740,0.02678585,0.0,0.0,0.4257121,0.0,0.0,117.99219,37679104.0,0.0,1048576.0,1648807800.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,40000.0,10.0,54.0,51.664062,0.0,0.0,116.07031,4.0,1025.0,0.0,0.0,604630.75,1025.0039,4.0,185.5,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,1757184.0,1025.0,0.0,0.0,0.0,0.0,204.0,0.0,1647144300.0,52178944.0,0.03371269,0.0,0.0,277.5,0.005
