timestamp,container_network_receive_MB.eth0,container_network_transmit_errors.eth0,container_network_receive_packets_dropped.eth0,container_network_transmit_MB.eth0,container_fs_reads./dev/vda1,container_fs_reads./dev/vda,container_memory_usage_MB,container_memory_rss,container_fs_sector_reads./dev/vda1,container_ulimits_soft.max_open_files,container_last_seen,container_fs_writes_MB./dev/vda,container_spec_cpu_period,container_tasks_state.running,container_tasks_state.stopped,container_tasks_state.uninterruptible,container_tasks_state.sleeping,container_tasks_state.iowaiting,container_fs_read_seconds./dev/vda1,container_fs_reads_MB./dev/vda,container_spec_memory_reservation_limit_MB,container_fs_reads_merged./dev/vda1,container_cpu_user_seconds,container_fs_write_seconds./dev/vda1,container_threads_max,container_spec_cpu_quota,container_file_descriptors,container_cpu_cfs_periods,container_fs_usage_MB./dev/vda1,container_fs_writes./dev/vda1,container_fs_writes./dev/vda,container_memory_working_set_MB,container_sockets,container_spec_memory_swap_limit_MB,container_fs_sector_writes./dev/vda1,container_memory_swap,container_fs_limit_MB./dev/vda1,container_memory_max_usage_MB,container_memory_failcnt,container_network_transmit_packets.eth0,container_fs_io_time_seconds./dev/vda1,container_cpu_load_average_10s,container_fs_inodes_free./dev/vda1,container_network_transmit_packets_dropped.eth0,container_fs_writes_merged./dev/vda1,container_cpu_cfs_throttled_periods,container_threads,container_fs_inodes./dev/vda1,container_network_receive_errors.eth0,container_memory_mapped_file,container_spec_memory_limit_MB,container_memory_failures.container.pgmajfault,container_memory_failures.hierarchy.pgfault,container_memory_failures.hierarchy.pgmajfault,container_memory_failures.container.pgfault,container_spec_cpu_shares,container_fs_io_time_weighted_seconds./dev/vda1,container_start_time_seconds,container_memory_cache,container_cpu_usage_seconds,container_cpu_cfs_throttled_seconds,container_fs_io_current./dev/vda1,container_network_receive_packets.eth0,container_cpu_system_seconds
1648807200,0.024642944,0.0,0.0,0.5342312,0.0,0.0,113.72266,38641664.0,0.0,1048576.0,1648807300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,20000.0,9.0,30.0,48.046875,0.0,0.0,113.43359,3.0,512.0,0.0,0.0,604630.75,512.0039,0.0,192.5,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,2162688.0,512.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,53342210.0,0.017494133,0.0,0.0,298.0,0.005
1648807260,0.024642944,0.0,0.0,0.5342312,0.0,0.0,113.72266,38641664.0,0.0,1048576.0,1648807300.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,20000.0,9.0,30.0,48.046875,0.0,0.0,113.43359,3.0,512.0,0.0,0.0,604630.75,512.0039,0.0,192.5,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,2162688.0,512.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,53342210.0,0.017494133,0.0,0.0,298.0,0.005
1648807320,0.015526295,0.0,0.0,0.26971674,0.0,0.0,113.72266,38641664.0,0.0,1048576.0,1648807400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,20000.0,9.0,36.0,48.046875,0.0,0.0,113.43359,3.0,512.0,0.0,0.0,604630.75,512.0039,0.0,123.5,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,2162688.0,512.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,53342210.0,0.016884146,0.0,0.0,191.0,0.0
1648807380,0.027090073,0.0,0.0,0.7934909,0.0,0.0,113.72266,38641664.0,0.0,1048576.0,1648807400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,20000.0,9.0,27.5,48.046875,0.0,0.0,113.30469,3.0,512.0,0.0,0.0,604630.75,512.0039,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,2162688.0,512.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,53342210.0,0.014819147,0.0,0.0,338.5,0.01
1648807440,0.024217129,0.0,0.0,0.53365946,0.0,0.0,113.72266,38641664.0,0.0,1048576.0,1648807400.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,20000.0,9.0,35.5,48.046875,0.0,0.0,112.40234,3.0,512.0,0.0,0.0,604630.75,512.0039,0.0,186.5,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,2162688.0,512.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,53342210.0,0.018366532,0.0,0.0,296.5,0.0
1648807500,0.020420074,0.0,0.0,0.40224075,0.0,0.0,113.72266,38641664.0,0.0,1048576.0,1648807600.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,20000.0,9.0,31.0,48.046875,0.0,0.0,112.40234,3.0,512.0,0.0,0.0,604630.75,512.0039,0.0,161.5,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,2162688.0,512.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,53342210.0,0.016088443,0.0,0.0,249.0,0.0
1648807560,0.022508621,0.0,0.0,0.5324073,0.0,0.0,113.72266,38641664.0,0.0,1048576.0,1648807600.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,20000.0,9.0,34.0,48.046875,0.0,0.0,112.27344,3.0,512.0,0.0,0.0,604630.75,512.0039,0.0,172.5,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,2162688.0,512.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,53342210.0,0.017531352,0.0,0.0,277.0,0.01
1648807620,0.025214195,0.0,0.0,0.66347694,0.0,0.0,113.72266,38641664.0,0.0,1048576.0,1648807700.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,20000.0,9.0,27.0,48.046875,0.0,0.0,112.27344,3.0,512.0,0.0,0.0,604630.75,512.0039,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,2162688.0,512.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,53342210.0,0.013883706,0.0,0.0,312.0,0.01
1648807680,0.022249222,0.0,0.0,0.5324626,0.0,0.0,113.72266,38641664.0,0.0,1048576.0,1648807700.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,20000.0,9.0,34.5,48.046875,0.0,0.0,112.27344,3.0,512.0,0.0,0.0,604630.75,512.0039,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,2162688.0,512.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,53342210.0,0.017800398,0.0,0.0,273.5,0.005
1648807740,0.02246046,0.0,0.0,0.5321202,0.0,0.0,113.72266,38641664.0,0.0,1048576.0,1648807800.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,20000.0,9.0,36.5,48.046875,0.0,0.0,112.27344,3.0,512.0,0.0,0.0,604630.75,512.0039,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,2162688.0,512.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,53342210.0,0.017303366,0.0,0.0,278.0,0.005
1648807800,0.018987656,0.0,0.0,0.40103436,0.0,0.0,113.72266,38641664.0,0.0,1048576.0,1648807800.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,20000.0,9.0,26.0,48.046875,0.0,0.0,112.27344,3.0,512.0,0.0,0.0,604630.75,512.0039,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,2162688.0,512.0,0.0,0.0,0.0,0.0,102.0,0.0,1647144300.0,53342210.0,0.01462506,0.0,0.0,233.5,0.0
